business_id,inspection_score_median,inspection_score_mean,inspection_score_min,High Risk,Low Risk,Moderate Risk,No Risk,total_number_of_violations
19,94.0,94.66666666666667,94.0,0,1,2,0,3
24,98.0,98.0,98.0,0,2,0,1,3
31,95.0,95.0,94.0,0,3,1,0,4
45,88.0,88.0,85.0,1,12,4,0,17
48,87.0,89.8,87.0,1,2,2,0,5
54,87.0,89.8,87.0,1,2,2,0,5
58,74.0,74.80952380952381,70.0,3,10,8,0,21
61,94.0,94.8,94.0,0,3,2,0,5
66,97.0,97.0,96.0,0,4,0,0,4
73,83.0,83.85714285714286,78.0,0,7,7,0,14
76,98.0,98.66666666666667,98.0,0,2,0,1,3
77,94.0,94.66666666666667,94.0,0,4,2,0,6
80,96.0,97.33333333333333,96.0,0,2,0,1,3
88,84.0,85.6,82.0,4,5,1,0,10
95,88.5,88.0,83.0,2,11,3,0,16
98,94.0,95.33333333333333,94.0,0,2,1,0,3
99,83.0,83.0,82.0,0,7,5,0,12
101,90.0,90.8,90.0,0,1,4,0,5
102,86.0,88.0,85.0,1,4,7,0,12
108,100.0,100.0,100.0,0,2,0,2,4
116,74.0,81.44444444444444,74.0,3,2,4,0,9
121,90.0,89.5,88.0,0,3,9,0,12
125,90.0,92.0,90.0,0,3,1,1,5
134,85.0,87.0,85.0,2,0,2,0,4
140,79.0,80.06666666666666,77.0,2,4,9,0,15
141,100.0,100.0,100.0,0,0,0,3,3
146,84.0,84.23076923076923,81.0,1,5,7,0,13
151,81.0,81.0,81.0,1,2,2,0,5
155,86.0,84.53846153846153,79.0,1,5,7,0,13
164,87.0,87.22222222222223,83.0,2,2,5,0,9
184,90.0,91.5,90.0,0,1,3,0,4
187,94.0,95.0,92.0,0,0,3,1,4
190,100.0,100.0,100.0,0,0,0,3,3
192,86.0,86.0,86.0,2,0,0,0,2
194,84.0,84.8,84.0,0,5,5,0,10
198,94.0,94.0,94.0,0,2,2,0,4
200,88.0,88.0,88.0,0,2,2,0,4
208,90.0,90.0,90.0,0,6,2,0,8
217,92.0,90.63636363636364,88.0,1,6,4,0,11
226,84.0,81.06666666666666,74.0,2,6,7,0,15
236,94.0,94.6,93.0,1,3,1,0,5
239,88.0,88.0,88.0,0,4,4,0,8
240,82.0,80.72222222222223,77.0,2,11,5,0,18
247,88.0,87.84615384615384,86.0,0,8,5,0,13
251,98.0,98.0,98.0,0,2,0,0,2
253,94.0,93.55555555555556,92.0,0,9,0,0,9
256,90.0,92.0,90.0,0,5,1,0,6
268,82.0,85.6,82.0,2,2,0,1,5
272,79.0,79.0,79.0,1,3,2,0,6
273,83.0,80.58333333333333,75.0,3,15,6,0,24
275,96.0,95.6,94.0,0,4,1,0,5
276,100.0,100.0,100.0,0,0,0,3,3
279,92.0,92.44444444444444,90.0,0,5,4,0,9
281,98.0,98.0,98.0,0,1,0,0,1
283,81.0,84.375,81.0,1,3,4,0,8
286,83.0,82.8695652173913,82.0,2,16,5,0,23
290,98.0,98.0,98.0,0,1,0,0,1
298,88.0,88.72727272727273,87.0,1,7,3,0,11
300,86.0,86.0,86.0,0,3,2,0,5
302,94.0,89.92857142857143,81.0,1,10,3,0,14
305,88.0,88.85714285714286,88.0,0,3,4,0,7
315,87.0,88.0909090909091,84.0,1,2,8,0,11
318,96.0,96.0,94.0,0,5,1,0,6
320,81.0,81.41176470588235,77.0,2,10,5,0,17
323,96.0,95.6,94.0,0,4,1,0,5
326,78.0,79.33333333333333,78.0,3,2,4,0,9
328,82.0,82.9090909090909,81.0,4,3,4,0,11
337,90.0,89.6,89.0,1,1,3,0,5
379,77.0,78.33333333333333,77.0,4,4,7,0,15
384,76.0,76.45454545454545,73.0,5,2,4,0,11
386,68.0,74.85714285714286,68.0,2,7,5,0,14
389,98.0,98.0,96.0,0,1,1,1,3
393,81.0,79.4375,76.0,4,7,5,0,16
397,96.0,96.0,96.0,0,0,1,0,1
400,90.0,90.0,90.0,0,1,2,0,3
403,88.0,89.2,88.0,0,5,5,0,10
409,66.0,71.66666666666667,66.0,3,3,6,0,12
413,74.0,74.0,74.0,2,2,2,0,6
415,92.0,92.4,91.0,1,1,3,0,5
422,96.0,96.0,96.0,0,0,1,0,1
423,78.0,83.33333333333333,78.0,2,5,2,0,9
424,86.0,87.42857142857143,86.0,0,9,5,0,14
428,98.0,98.0,98.0,0,2,0,0,2
429,87.0,87.0,87.0,2,4,2,0,8
431,86.0,86.5,86.0,0,4,8,0,12
435,92.0,90.85714285714286,88.0,0,1,6,0,7
436,87.0,86.6,86.0,2,3,5,0,10
